X,Y,ID,
-87.5817526,41.7670638,,
-87.595879,41.7791944,,
-87.623498,41.8159799,,
-87.6234959,41.8158402,,
-87.604975,41.814849,,
-87.5932234,41.7746358,,
-87.6231749,41.8076714,,
-87.5926721,41.7739464,,
-87.595879,41.7791944,,
-87.5505256,41.7532007,,
-87.6033731,41.8105031,,
-87.6038615,41.8021811,,
-73.9858952,40.756298,,
-87.5949222,41.8105793,,
-87.6223903,41.8087775,,
-87.6223934,41.8086606,,
-87.6227668,41.8180343,,
-87.6209022,41.8109187,,
-87.5743692,41.7732573,,
-87.6050895,41.8066338,,
